username,tweetcreatedts,text
__aichaaa,2021-12-16 23:59:47,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia.."
rdkxogus,2021-12-16 23:59:46,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia.."
kjokkn,2021-12-16 23:59:42,"Namun, disisi lain.. ringannya gejala #omicron dan penularan yg lebih cepat malah diartikan beberapa ilmuwan ini merupakan akhir dari pandemi, karena virus melemah dan malah akan membuat peningkatan kekebalan alami.. kita lihat saja bagaimana di UK ya.."
doddooo7,2021-12-16 23:59:36,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia.."
breeze_moment,2021-12-16 23:59:25,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia.."
manjikro,2021-12-16 23:59:24,"Namun, disisi lain.. ringannya gejala #omicron dan penularan yg lebih cepat malah diartikan beberapa ilmuwan ini merupakan akhir dari pandemi, karena virus melemah dan malah akan membuat peningkatan kekebalan alami.. kita lihat saja bagaimana di UK ya.."
manjikro,2021-12-16 23:59:15,"Data menunjukkan puncak grafik #omicron bisa dicapai dalam 3-4 minggu, sedangkan kita bisa mencapai puncak grafik Delta kemarin selama kurang lebih 6-8 minggu. Bisa dibayangkan betapa kacaunya apabila ini terjadi.."
manjikro,2021-12-16 23:59:08,"Saat ini lebih dari 4000 pasien #omicron di rawat di RS Afrika Selatan. Kabar baiknya 90 persen tidak memakai oksigen tambahan, dan banyak yg tidak bergejala namun dirawat karena memiliki penyakit lainnya."
manjikro,2021-12-16 23:58:50,Jumlah kasus #omicron di Afrika Selatan juga sudah mencapai 98 persen. Menggantikan Delta. Lambat laun Omicron akan menyebar ke seluruh Dunia. Kita lihat saja UK dalam beberapa hari sudah menjadi puluhan ribu kasus. 40 persen varian di London saat ini sudah Omicron. https://t.co/w9L6UkMG3b
violetaaday,2021-12-16 23:58:49,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia.."
