username,tweetcreatedts,text,tweet_clean,tweet_english
__aichaaa,2021-12-16 23:59:47,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia..","Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan di Dunia..","Omicron has been found in Indonesia, don't panic!Let's discuss thinly how developments in the world ..."
rdkxogus,2021-12-16 23:59:46,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia..","Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan di Dunia..","Omicron has been found in Indonesia, don't panic!Let's discuss thinly how developments in the world ..."
kjokkn,2021-12-16 23:59:42,"Namun, disisi lain.. ringannya gejala #omicron dan penularan yg lebih cepat malah diartikan beberapa ilmuwan ini merupakan akhir dari pandemi, karena virus melemah dan malah akan membuat peningkatan kekebalan alami.. kita lihat saja bagaimana di UK ya..","Namun, disisi lain.. ringannya gejala dan penularan yg lebih cepat malah diartikan beberapa ilmuwan ini merupakan akhir dari pandemi, karena virus melemah dan malah akan membuat peningkatan kekebalan alami.. kita lihat saja bagaimana di UK ya..","However, on the other hand ... the symptoms of symptoms and transmission that faster is actually interpreted by some scientists this is the end of a pandemic, because the virus weakens and instead will make an increase in natural immunity .. We just see how in the UK ..."
doddooo7,2021-12-16 23:59:36,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia..","Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan di Dunia..","Omicron has been found in Indonesia, don't panic!Let's discuss thinly how developments in the world ..."
breeze_moment,2021-12-16 23:59:25,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia..","Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan di Dunia..","Omicron has been found in Indonesia, don't panic!Let's discuss thinly how developments in the world ..."
manjikro,2021-12-16 23:59:24,"Namun, disisi lain.. ringannya gejala #omicron dan penularan yg lebih cepat malah diartikan beberapa ilmuwan ini merupakan akhir dari pandemi, karena virus melemah dan malah akan membuat peningkatan kekebalan alami.. kita lihat saja bagaimana di UK ya..","Namun, disisi lain.. ringannya gejala dan penularan yg lebih cepat malah diartikan beberapa ilmuwan ini merupakan akhir dari pandemi, karena virus melemah dan malah akan membuat peningkatan kekebalan alami.. kita lihat saja bagaimana di UK ya..","However, on the other hand ... the symptoms of symptoms and transmission that faster is actually interpreted by some scientists this is the end of a pandemic, because the virus weakens and instead will make an increase in natural immunity .. We just see how in the UK ..."
manjikro,2021-12-16 23:59:15,"Data menunjukkan puncak grafik #omicron bisa dicapai dalam 3-4 minggu, sedangkan kita bisa mencapai puncak grafik Delta kemarin selama kurang lebih 6-8 minggu. Bisa dibayangkan betapa kacaunya apabila ini terjadi..","Data menunjukkan puncak grafik bisa dicapai dalam $NUMBER$ minggu, sedangkan kita bisa mencapai puncak grafik Delta kemarin selama kurang lebih $NUMBER$ minggu. Bisa dibayangkan betapa kacaunya apabila ini terjadi..","Data shows the peak of the graph can be achieved in $ number $ week, while we can reach the top of the delta chart yesterday for approximately $ number $ week.You can imagine how geld is if this happens ..."
manjikro,2021-12-16 23:59:08,"Saat ini lebih dari 4000 pasien #omicron di rawat di RS Afrika Selatan. Kabar baiknya 90 persen tidak memakai oksigen tambahan, dan banyak yg tidak bergejala namun dirawat karena memiliki penyakit lainnya.","Saat ini lebih dari pasien di rawat di RS Afrika Selatan. Kabar baiknya persen tidak memakai oksigen tambahan, dan banyak yg tidak bergejala namun dirawat karena memiliki penyakit lainnya.","At present more than patients are treated at South Africa Hospital.The good news percent do not use additional oxygen, and many are not symptomatic but treated for other diseases."
manjikro,2021-12-16 23:58:50,Jumlah kasus #omicron di Afrika Selatan juga sudah mencapai 98 persen. Menggantikan Delta. Lambat laun Omicron akan menyebar ke seluruh Dunia. Kita lihat saja UK dalam beberapa hari sudah menjadi puluhan ribu kasus. 40 persen varian di London saat ini sudah Omicron. https://t.co/w9L6UkMG3b,Jumlah kasus di Afrika Selatan juga sudah mencapai persen. Menggantikan Delta. Lambat laun Omicron akan menyebar ke seluruh Dunia. Kita lihat saja UK dalam beberapa hari sudah menjadi puluhan ribu kasus. persen varian di London saat ini sudah Omicron.,The number of cases in South Africa has also reached percent.Replace Delta.Gradually Omicron will spread throughout the world.We just see the UK in a few days has become tens of thousands of cases.Percent of variants in London are currently Omicron.
violetaaday,2021-12-16 23:58:49,"Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan #Omicron di Dunia..","Omicron sudah ditemukan di Indonesia, jangan panik ! Mari kita bahas tipis2 bagaimana perkembangan di Dunia..","Omicron has been found in Indonesia, don't panic!Let's discuss thinly how developments in the world ..."
